-7.186777301514624128e+00,8.745644918258998146e+00,-7.123117684456335752e+00
-1.137719635302691223e+01,4.346736888730042381e+00,-7.615110759368222126e+00
-7.498014350209739831e+00,4.276518177243691099e+00,5.761705397885787505e+00
-1.114141098183426593e+01,2.270919633817839411e+01,3.176710113934857471e+00
7.167104951521906742e+00,-5.318387385300415104e+00,-3.844139354355832872e+00
6.670279943622578145e+00,5.467613699044441056e+00,-2.309147049494270298e+00
1.135926570077527487e+01,1.847815876455809558e+01,2.352053667564660017e-03
1.732406075130878520e+01,1.135178774300062798e+01,2.320261068205687671e+00
-1.045410234196274546e+00,2.216732772128972329e+01,-8.926026639068311841e-01
-1.376787859997527175e+00,2.052151176727696935e+01,2.542675145474451170e+00
2.720187283983860027e+01,-1.482706159141470437e+01,-5.997594673044542191e+00
1.678787500746345529e+01,-6.811227231617307254e-01,-6.694661531358382156e+00
-9.694828279051321829e+00,9.037700281031053606e+00,-8.844357603487367214e+00
-6.461680648612981415e+00,3.505740609434835342e+00,-1.238060526963394103e+01
1.975218680765747692e+01,6.808656000426497101e+00,-7.593628533793732593e+00
2.363224435323992978e+01,5.312750800427423314e+00,-3.843453140102156773e+00
9.639297499741084962e+00,-6.109432826657881677e+00,1.972141836420356231e+00
2.043391586940048299e+01,5.450263825001164797e+00,9.571572645519470512e+00
9.387724148034571670e+00,-1.333278197676420262e+01,1.508362122795415594e+00
1.209232405726179849e+01,-1.709555267927264088e+00,4.185176492883737609e+00
1.195323702221503481e+01,2.097302304385516081e+01,-3.238188240244254334e+00
2.147369126047334476e+01,8.786912196759194771e+00,4.267251087795409070e+00
1.459821155269099435e+01,2.379641177707481958e+00,5.739904595899931739e-01
1.408462693505584795e+01,1.135632759296630656e+00,-2.617099678305036647e+00
9.974359288306857252e+00,-1.828675979887450609e+01,1.476588825143137162e+00
6.868909526983875580e+00,3.730740333610174986e+00,-7.102253192936071047e-01
2.712269548845963740e+01,1.362880995541473617e+01,-3.547229329003860787e+00
2.285312054717487484e+01,1.642568390904780884e+01,-7.254307075062387256e+00
2.221594801384310358e+01,7.755292169262341773e+00,-6.641808302267355746e-01
-2.459450393200078366e+01,-1.347672716671609550e+01,3.122852984304953949e+00
-2.316969945983888479e+01,-1.202842563878993332e+01,4.804347072302290300e+00
-1.521421124945167236e+00,-2.694957894166632784e+00,-1.036318365660560659e+01
-7.737176035252335993e+00,-1.868008767585371288e+01,-4.365286618398487306e+00
7.862403252395601783e+00,-7.140803395128467734e-01,-1.456051797451766383e+00
9.295416040193870799e+00,-1.284158750679242544e+01,-7.812491409965958589e+00
-2.400338757313665639e+01,-1.369136341056978701e+01,2.753967599920518171e-03
-1.975417003781701553e+01,-6.154578069894155234e+00,-2.487258695974094991e+00
-7.955491339897825753e+00,1.673060132354147411e+00,1.826994738480172686e-01
-1.506716422911971165e+01,1.165062535126399901e+00,2.391520824784479707e-02
-2.019620070419661317e+01,5.997549954919314530e+00,4.419361571892665097e+00
-2.331525875298693506e+01,6.514041815335373187e+00,2.559324639056451467e+00
-2.710628953747552572e+01,-1.667884459203926184e+01,9.467235586037442419e-01
-2.955748126223386762e+01,-3.629167609737632194e+00,2.822937011975269250e+00
-1.049545856620978412e+01,-1.130606361402754168e+01,5.998002030345309876e+00
